Region,Province,Municipality/City,Poverty Incidence,Standard Error (SE),Coefficient of Variation (CV)
Region III,Nueva Ecija,Licab,25.5,4.1,16.1
Region III,Nueva Ecija,Llanera,25.7,3.1,11.8
Region III,Nueva Ecija,Lupao,26.4,3.3,12.3
Region III,Nueva Ecija,Munoz City,21.4,2.6,12.0
Region III,Nueva Ecija,Nampicuan,25.8,3.3,12.9
Region III,Nueva Ecija,Palayan City,16.0,2.1,13.0
Region III,Nueva Ecija,Pantabangan,21.8,3.2,14.5
Region III,Nueva Ecija,Penafranda,11.3,3.1,27.1
Region III,Nueva Ecija,Quezon,26.7,3.3,12.2
Region III,Nueva Ecija,Rizal,19.3,2.4,12.5
Region III,Nueva Ecija,San Antonio,17.2,3.3,18.9
Region III,Nueva Ecija,San Isidro,11.8,2.7,22.5
Region III,Nueva Ecija,Sab Jose City,19.1,2.2,11.7
Region III,Nueva Ecija,San Leonardo,13.6,2.5,18.6
Region III,Nueva Ecija,Santa Rosa,15.0,2.0,13.0
Region III,Nueva Ecija,Santo Domingo,20.3,2.5,12.3
Region III,Nueva Ecija,Talavera,18.3,1.8,10.1
Region III,Nueva Ecija,Talugtug,36.0,3.0,8.3
Region III,Nueva Ecija,Zaragoza,19.3,2.6,13.6
Region III,Pampanga,Angeles City,5.0,1.1,22.4
Region III,Pampanga,Apalit,9.1,2.1,22.7
Region III,Pampanga,Arayat,8.7,1.6,18.3
Region III,Pampanga,Bacolor,6.2,1.8,28.3
Region III,Pampanga,Candaba,17.7,2.7,15.3
Region III,Pampanga,Floridablanca,13.4,1.6,11.6
Region III,Pampanga,Guagua,7.4,1.3,17.9
Region III,Pampanga,Lubao,10.6,1.5,13.9
Region III,Pampanga,Mabalacat,7.2,2.1,29.5
Region III,Pampanga,Macabebe,9.2,1.9,20.9
Region III,Pampanga,Magalang,8.1,1.9,23.4
Region III,Pampanga,Masantol,9.1,2.2,24.0
Region III,Pampanga,Mexico,7.7,1.4,18.5
Region III,Pampanga,Minalin,9.0,2.1,22.8
Region III,Pampanga,Porac,11.3,2.1,18.3
Region III,Pampanga,San Fernando City,4.8,1.1,22.9
Region III,Pampanga,San Luis,16.2,2.9,17.7
Region III,Pampanga,San Simon,9.1,2.4,25.8
Region III,Pampanga,Santa Ana,11.0,2.4,22.0
Region III,Pampanga,Santa Rita,9.4,2.8,30.3
Region III,Pampanga,Santo Tomas,6.0,2.3,39.3
Region III,Pampanga,Sasmuan,11.5,2.3,20.3
Region III,Tarlac,Anao,18.0,3.3,18.1
Region III,Tarlac,Bamban,10.6,3.4,32.0
Region III,Tarlac,Camiling,15.8,1.8,11.6
Region III,Tarlac,Capas,13.2,2.5,19.3
Region III,Tarlac,Concepcion,13.5,1.9,13.9
Region III,Tarlac,Gerona,17.6,2.2,12.4
Region III,Tarlac,La Paz,17.0,2.5,14.5
Region III,Tarlac,Mayantoc,28.3,4.0,14.0
Region III,Tarlac,Moncada,15.9,2.1,13.4
Region III,Tarlac,Paniqui,12.8,1.6,12.5
Region III,Tarlac,Pura,14.7,2.7,18.1
Region III,Tarlac,Ramos,16.7,3.2,19.2
Region III,Tarlac,San Clemente,18.2,3.1,17.3
Region III,Tarlac,San Manuel,17.0,3.1,18.4
Region III,Tarlac,Santa Ignacia,21.8,2.9,13.1
